"participant";"trial";"practice";"speed";"delta_luminance";"action";"completion_time";"edgeA_speed";"edgeA_color";"edgeB_original_speed";"edgeB_speed";"edgeB_color";"delta_speed"
"1";"32";"false";"36.755880000000005";"70";"decrease";"63.278";"36.755880000000005";"#000000";"69.936";"36.85570800000005";"#000000";"0.09982800000004786"
"1";"33";"false";"36.755880000000005";"70";"increase";"19.699";"36.755880000000005";"#000000";"19.345200000000002";"40.47983100000005";"#000000";"3.7239510000000475"
"1";"34";"false";"5.358";"40";"increase";"17.445";"5.358";"#000000";"1.5510000000000002";"5.569500000000006";"#000000";"0.21150000000000552"
"1";"35";"false";"5.358";"40";"decrease";"27.407";"5.358";"#000000";"10.1802";"6.697500000000008";"#000000";"1.339500000000009"
"1";"36";"false";"5.358";"70";"decrease";"34.311";"5.358";"#000000";"10.1802";"5.09010000000001";"#000000";"-0.2678999999999899"
"1";"37";"false";"5.358";"70";"increase";"59.213";"5.358";"#000000";"1.5510000000000002";"5.569500000000006";"#000000";"0.21150000000000552"
"1";"38";"false";"5.358";"0";"increase";"15.862";"5.358";"#000000";"1.5510000000000002";"6.105300000000004";"#000000";"0.7473000000000042"
"1";"39";"false";"5.358";"0";"decrease";"21.044";"5.358";"#000000";"10.1802";"6.1617000000000095";"#000000";"0.8037000000000104"
"1";"40";"false";"36.755880000000005";"11";"decrease";"15.304";"36.755880000000005";"#000000";"69.936";"38.69350200000005";"#000000";"1.9376220000000526"
"1";"41";"false";"36.755880000000005";"11";"increase";"30.762";"36.755880000000005";"#000000";"19.345200000000002";"35.88534600000004";"#000000";"-0.8705339999999648"
"1";"42";"false";"5.358";"40";"increase";"94.411";"5.358";"#000000";"1.5510000000000002";"6.105300000000004";"#000000";"0.7473000000000042"
"1";"43";"false";"5.358";"40";"decrease";"14.462";"5.358";"#000000";"10.1802";"6.29565000000001";"#000000";"0.9376500000000101"
"1";"44";"false";"19.345200000000002";"40";"decrease";"17.206";"19.345200000000002";"#000000";"36.755880000000005";"24.665130000000005";"#000000";"5.319930000000002"
"1";"45";"false";"19.345200000000002";"40";"increase";"31.907";"19.345200000000002";"#000000";"10.1802";"17.918280000000003";"#000000";"-1.4269200000000006"
"1";"46";"false";"19.345200000000002";"40";"increase";"19.727";"19.345200000000002";"#000000";"10.1802";"19.36917";"#000000";"0.02396999999999924"
"1";"47";"false";"19.345200000000002";"40";"decrease";"34.336";"19.345200000000002";"#000000";"36.755880000000005";"19.345200000000006";"#000000";"2.504663143554353e-15"
"1";"48";"false";"36.755880000000005";"0";"decrease";"51.423";"36.755880000000005";"#000000";"69.936";"35.01791400000004";"#000000";"-1.7379659999999568"
"1";"49";"false";"36.755880000000005";"0";"increase";"19.513";"36.755880000000005";"#000000";"19.345200000000002";"36.804243000000035";"#000000";"0.04836300000003756"
"1";"50";"false";"19.345200000000002";"0";"increase";"85.708";"19.345200000000002";"#000000";"10.1802";"19.36917";"#000000";"0.02396999999999924"
"1";"51";"false";"19.345200000000002";"0";"decrease";"17.66";"19.345200000000002";"#000000";"36.755880000000005";"19.828830000000004";"#000000";"0.4836300000000025"
