"participant";"trial";"practice";"speed";"delta_luminance";"action";"completion_time";"edgeA_speed";"edgeA_color";"edgeB_original_speed";"edgeB_speed";"edgeB_color";"delta_speed"
"2";"31";"false";"36.755880000000005";"40";"decrease";"16.749";"36.755880000000005";"#252525";"69.936";"37.77460500000005";"#969696";"1.0187250000000503"
"2";"32";"false";"19.345200000000002";"11";"decrease";"50.275";"19.345200000000002";"#252525";"36.755880000000005";"19.345200000000006";"#525252";"2.504663143554353e-15"
"2";"33";"false";"19.345200000000002";"11";"increase";"9.623";"19.345200000000002";"#252525";"10.1802";"20.82006";"#525252";"1.474859999999999"
"2";"34";"false";"36.755880000000005";"70";"increase";"10.816";"36.755880000000005";"#252525";"19.345200000000002";"36.804243000000035";"#d9d9d9";"0.04836300000003756"
"2";"35";"false";"36.755880000000005";"70";"decrease";"21.413";"36.755880000000005";"#252525";"69.936";"43.287987000000065";"#d9d9d9";"6.532107000000065"
"2";"36";"false";"5.358";"40";"decrease";"38.545";"5.358";"#252525";"10.1802";"6.29565000000001";"#969696";"0.9376500000000101"
"2";"37";"false";"5.358";"40";"increase";"30.468";"5.358";"#252525";"1.5510000000000002";"5.301600000000004";"#969696";"-0.05639999999999567"
"2";"38";"false";"5.358";"70";"increase";"22.135";"5.358";"#252525";"1.5510000000000002";"7.176900000000002";"#d9d9d9";"1.8189000000000013"
"2";"39";"false";"5.358";"70";"decrease";"26.014";"5.358";"#252525";"10.1802";"5.893800000000011";"#d9d9d9";"0.5358000000000112"
"2";"40";"false";"5.358";"0";"decrease";"25.023";"5.358";"#252525";"10.1802";"6.697500000000008";"#252525";"1.339500000000009"
"2";"41";"false";"5.358";"0";"increase";"12.54";"5.358";"#252525";"1.5510000000000002";"5.033700000000003";"#252525";"-0.3242999999999956"
"2";"42";"false";"36.755880000000005";"11";"increase";"17.938";"36.755880000000005";"#252525";"19.345200000000002";"36.804243000000035";"#525252";"0.04836300000003756"
"2";"43";"false";"36.755880000000005";"11";"decrease";"10.46";"36.755880000000005";"#252525";"69.936";"37.77460500000005";"#525252";"1.0187250000000503"
"2";"44";"false";"5.358";"40";"decrease";"18.26";"5.358";"#252525";"10.1802";"6.831450000000009";"#969696";"1.4734500000000088"
"2";"45";"false";"5.358";"40";"increase";"17.058";"5.358";"#252525";"1.5510000000000002";"4.497900000000004";"#969696";"-0.8600999999999966"
"2";"46";"false";"19.345200000000002";"40";"increase";"25.847";"19.345200000000002";"#252525";"10.1802";"21.303689999999996";"#969696";"1.958489999999999"
"2";"47";"false";"19.345200000000002";"40";"decrease";"20.813";"19.345200000000002";"#252525";"36.755880000000005";"17.894310000000004";"#969696";"-1.4508899999999973"
"2";"48";"false";"19.345200000000002";"40";"decrease";"12.111";"19.345200000000002";"#252525";"36.755880000000005";"23.214240000000004";"#969696";"3.8690400000000023"
"2";"49";"false";"19.345200000000002";"40";"increase";"15.614";"19.345200000000002";"#252525";"10.1802";"17.434649999999998";"#969696";"-1.9105500000000006"
"2";"50";"false";"36.755880000000005";"0";"increase";"10.613";"36.755880000000005";"#252525";"19.345200000000002";"38.642037000000045";"#252525";"1.8861570000000425"
"2";"51";"false";"36.755880000000005";"0";"decrease";"88.456";"36.755880000000005";"#252525";"69.936";"34.099017000000046";"#252525";"-2.656862999999959"
